,centroid,clusters
912,creationdiscrete,"action Mdiscrete, actiondiscrete, conceptiondiscrete, contributionsdiscrete, creation discussed, creationdiscrete, directiondiscrete, directionsdiscrete, equationsdiscrete, freedomdiscrete, motiondiscrete, operation Idiscrete, operationdiscrete, operationsdiscrete, pair creationdiscrete, propagationdiscrete, representationdiscrete, rotationdiscrete, space rotationdiscrete, variationdiscrete, violationdiscrete"
913,creationdiscrete symmetry,"actiondiscrete symmetry, conceptiondiscrete symmetry, contributionsdiscrete symmetry, creationdiscrete symmetry, directiondiscrete symmetry, directionsdiscrete symmetry, equationsdiscrete symmetry, formulationdiscrete symmetry, freedomdiscrete symmetry, gravitationdiscrete symmetry, informationdiscrete symmetry, interactiondiscrete symmetry, interpretationdiscrete symmetry, motiondiscrete symmetry, operationdiscrete symmetry, operationsdiscrete symmetry, propagationdiscrete symmetry, representationdiscrete symmetry, rotationdiscrete symmetry, transformationdiscrete symmetry, variationdiscrete symmetry, vectorpropagatordiscrete symmetry, violationdiscrete symmetry, world-linediscrete symmetry"
914,creationgravitational,"attractiongravitational, concentrationsgravitational, conditionsgravitational, constraintgravitational, creation observational, creationgravitational, direct non-gravitational, gravitationgravitational, interpretationgravitational, operations gravitationblack, pair creationgravitational, repulsiongravitational"
915,creationgravitational repulsion,"antiparticlesgravitational repulsion, attractiongravitational repulsion, conditionsgravitational repulsion, constraintgravitational repulsion, creationgravitational repulsion, distributiongravitational repulsion, interpretationgravitational repulsion, repulsiongravitational repulsion"
916,creationtime,"actiontime, causalitytime, conceptiontime, conjugation Ctime, creation big, creationmatter, creationtime, descriptiontime, directionstime, expansiontime, motiontime, reality outside, violationtime"
917,creationtime direction,"actiontime direction, annihilationtime direction, causalitytime direction, conceptiontime direction, constrainttime direction, creationtime direction, expansiontime direction, formulationtime direction, freedomtime direction, interactiontime direction, interpretationtime direction, motiontime direction, origintime direction, propagationtime direction, propertiestime direction, representationtime direction, solutiontime direction, violationtime direction"
918,current notion,"abundant protons, current conception, current estimates, current formulation, current knowledge, current models, current notion, current situation, current stage"
919,current theory,"current framework, current tendency, current theoretical, current theories, current theory, emerging theory, incomplete theory"
920,currently raises,"currently assume, currently assumed, currently available, currently consider, currently define, currently exists, currently favored, currently forbidden, currently missing, currently raises, currently remains, currently surrounds, inherently random, sufficiently rapidly"
921,curvature tensorssecond,"curvature tensors, curvature tensorsgeneral, curvature tensorsnegative, curvature tensorssecond"
922,decisive additional,"assumption additional, decisive additional, decisive condition, despite traditional, single additional"
923,decisive consequences,"decisive consequences, practical consequences, undesirable consequence"
924,define space,"combined space, define charge, define space, defined charge, defined space, delving deeper, empty space, flat space, keeping space, neither space, preserving space, traversing space"
925,defined merely,"constrained merely, defined Implicitly, defined measures, defined merely, defined precisely, defined total, depend merely, derive merely, devoted mainly, explainable merely, field merely, related merely, remained mostly, reversed merely"
926,definite improvement,"alongside improvements, definite improvement, infinitesimal elements"
927,definite relationship,"definite relationship, exact relationship, predefined relationship, simple relationship"
928,definitely exist,"definitely accept, definitely exist, definitely exists, definitely negative, definitely positive, definitely unique, infinitely redshifted"
929,definition accelerationconstraint,"definition accelerationconstraint, definition accelerationinertial, definition completenessconstraint, definition self-determinationconstraint"
930,definition universetime,"definition interaction, definition universe, definition universeconstraint, definition universediscrete, definition universelocal, definition universenegative, definition universesecond, definition universetime"
931,demonstrates,"debunk myths, demonstrate, demonstrated, demonstrates, demonstrating, fermion paths"
932,denotes,"becomes, denote, denoted, denotes, densities, devoted, velocities"
933,depended,"defended, depend, depended, dependent, depending, depends, intended, suspended"
934,determinant,"determinant, determinants, determination, determining, dominant, indeterminacy, mere artifact, self-determination"
935,developments clearly,"developments achieved, developments actually, developments clearly, developments essential, developments featuring, developments introduced, developments mainly, developments toward"
936,difficulties discussed,"difficulties associated, difficulties described, difficulties discussed, difficulties existing, difficulties usually"
937,dilationquantum gravitation,"conceptionquantum gravitation, densitiesquantum gravitation, dilationquantum gravitation, directionquantum gravitation, equilibriumquantum gravitation, fluctuationsquantum gravitation, gravitationquantum gravitation, gravitonsquantum gravitation, informationquantum gravitation, magnificationquantum gravitation, singularityquantum gravitation"
